epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.2639,0.2634,0.77912,0.99121,1.911,0.00023744,0.00023744,0.00023744
2,90.6436,0.11476,0.82747,0.99231,1.86504,0.000428371,0.000428371,0.000428371
3,101.163,0.17121,0.8022,0.9956,1.89603,0.000572179,0.000572179,0.000572179
4,111.527,0.20233,0.77363,0.98132,1.93151,0.000501942,0.000501942,0.000501942
5,121.939,0.19118,0.82527,0.98681,1.87363,0.000431256,0.000431256,0.000431256
6,132.53,0.17293,0.84176,0.99121,1.86335,0.00036057,0.00036057,0.00036057
7,143.041,0.23116,0.82527,0.99121,1.86113,0.000289884,0.000289884,0.000289884
8,153.512,0.5166,0.81978,0.98791,1.89655,0.000219198,0.000219198,0.000219198
9,163.807,0.45699,0.81978,0.98791,1.89694,0.000148512,0.000148512,0.000148512
10,173.522,0.42157,0.83626,0.99341,1.88522,7.7826e-05,7.7826e-05,7.7826e-05
