epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.136,0.02243,0.83626,0.98901,1.8543,0.00023744,0.00023744,0.00023744
2,26.3001,0.17344,0.79011,0.97912,1.90547,0.000451906,0.000451906,0.000451906
3,36.9761,0.17883,0.78901,0.98132,1.91882,0.000642809,0.000642809,0.000642809
4,47.5369,0.20862,0.78132,0.98242,1.92031,0.000607971,0.000607971,0.000607971
5,57.9383,0.23006,0.77912,0.98681,1.92025,0.000572628,0.000572628,0.000572628
6,68.1234,0.20029,0.79011,0.99231,1.91354,0.000537285,0.000537285,0.000537285
7,78.1954,0.18391,0.81429,0.98901,1.87708,0.000501942,0.000501942,0.000501942
8,88.8851,0.18154,0.8022,0.98901,1.90853,0.000466599,0.000466599,0.000466599
9,99.2741,0.17533,0.78681,0.99011,1.9153,0.000431256,0.000431256,0.000431256
10,109.494,0.1721,0.7978,0.99121,1.89557,0.000395913,0.000395913,0.000395913
11,179.121,0.17191,0.8,0.98681,1.89147,0.00036057,0.00036057,0.00036057
12,189.62,0.16607,0.82637,0.98791,1.87031,0.000325227,0.000325227,0.000325227
13,200.29,0.18916,0.8033,0.98791,1.8849,0.000289884,0.000289884,0.000289884
14,210.574,0.19352,0.81538,0.99231,1.88522,0.000254541,0.000254541,0.000254541
15,221.342,0.19812,0.82527,0.99121,1.87201,0.000219198,0.000219198,0.000219198
16,231.942,0.19232,0.81429,0.98462,1.88053,0.000183855,0.000183855,0.000183855
17,242.158,0.2123,0.82198,0.99011,1.87826,0.000148512,0.000148512,0.000148512
18,252.326,0.21931,0.82637,0.98901,1.87116,0.000113169,0.000113169,0.000113169
19,262.462,0.27065,0.81978,0.98681,1.8862,7.7826e-05,7.7826e-05,7.7826e-05
20,272.896,0.26006,0.82198,0.98791,1.87318,4.2483e-05,4.2483e-05,4.2483e-05
