epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.648,0.28361,0.84066,0.99121,1.86367,0.00023744,0.00023744,0.00023744
2,25.6935,0.22704,0.81758,0.99121,1.88255,0.000451906,0.000451906,0.000451906
3,35.822,0.28818,0.77912,0.98791,1.92526,0.000642809,0.000642809,0.000642809
4,45.7399,0.32972,0.78132,0.98462,1.93333,0.000607971,0.000607971,0.000607971
5,56.0219,0.35191,0.80879,0.99121,1.89447,0.000572628,0.000572628,0.000572628
6,66.8358,0.33354,0.82857,0.99011,1.88919,0.000537285,0.000537285,0.000537285
7,77.2867,0.30698,0.80879,0.98791,1.89251,0.000501942,0.000501942,0.000501942
8,87.6611,0.32038,0.79451,0.98901,1.91283,0.000466599,0.000466599,0.000466599
9,98.1421,0.30344,0.8044,0.98681,1.89993,0.000431256,0.000431256,0.000431256
10,108.286,0.29475,0.83626,0.99231,1.86803,0.000395913,0.000395913,0.000395913
11,176.921,0.27874,0.80549,0.98901,1.89388,0.00036057,0.00036057,0.00036057
12,187.532,0.27989,0.82747,0.99011,1.87038,0.000325227,0.000325227,0.000325227
13,197.678,0.36543,0.84176,0.98901,1.86771,0.000289884,0.000289884,0.000289884
14,207.83,0.35242,0.82747,0.99231,1.88835,0.000254541,0.000254541,0.000254541
15,217.808,0.32998,0.83846,0.99011,1.8722,0.000219198,0.000219198,0.000219198
16,228.335,0.31565,0.83626,0.99121,1.87422,0.000183855,0.000183855,0.000183855
17,238.628,0.31203,0.83077,0.99231,1.87057,0.000148512,0.000148512,0.000148512
18,248.636,0.29108,0.84286,0.99231,1.86224,0.000113169,0.000113169,0.000113169
19,258.793,0.26981,0.82967,0.99231,1.88158,7.7826e-05,7.7826e-05,7.7826e-05
20,268.582,0.27185,0.83297,0.99121,1.86374,4.2483e-05,4.2483e-05,4.2483e-05
