epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.544,0.08201,0.83956,0.98791,1.84844,0.00023744,0.00023744,0.00023744
2,25.1346,0.1219,0.78681,0.98462,1.90964,0.000451906,0.000451906,0.000451906
3,35.2667,0.19552,0.76813,0.97912,1.92767,0.000642809,0.000642809,0.000642809
4,45.6216,0.24557,0.79341,0.98901,1.90742,0.000607971,0.000607971,0.000607971
5,55.6379,0.22837,0.8033,0.98791,1.89674,0.000572628,0.000572628,0.000572628
6,65.8139,0.20458,0.8,0.98462,1.9056,0.000537285,0.000537285,0.000537285
7,75.6943,0.19365,0.82198,0.99121,1.87012,0.000501942,0.000501942,0.000501942
8,86.2433,0.19351,0.78571,0.99121,1.91758,0.000466599,0.000466599,0.000466599
9,96.8682,0.18763,0.8,0.98791,1.90879,0.000431256,0.000431256,0.000431256
10,107.104,0.17312,0.80659,0.98681,1.87995,0.000395913,0.000395913,0.000395913
11,176.682,0.16843,0.8,0.98791,1.89531,0.00036057,0.00036057,0.00036057
12,186.653,0.16708,0.81099,0.99121,1.87904,0.000325227,0.000325227,0.000325227
13,196.741,0.19235,0.82967,0.98791,1.86764,0.000289884,0.000289884,0.000289884
14,206.72,0.19567,0.80769,0.99011,1.89525,0.000254541,0.000254541,0.000254541
15,216.912,0.19321,0.81648,0.98901,1.87376,0.000219198,0.000219198,0.000219198
16,227.225,0.19649,0.82637,0.98571,1.8763,0.000183855,0.000183855,0.000183855
17,237.377,0.20845,0.81538,0.99011,1.87507,0.000148512,0.000148512,0.000148512
18,247.375,0.21965,0.82527,0.98791,1.87396,0.000113169,0.000113169,0.000113169
19,257.428,0.26481,0.82198,0.98901,1.88711,7.7826e-05,7.7826e-05,7.7826e-05
20,267.331,0.26618,0.82637,0.99011,1.8724,4.2483e-05,4.2483e-05,4.2483e-05
