epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.289,0.37392,0.83407,0.98901,1.87754,0.00023744,0.00023744,0.00023744
2,24.8185,0.41887,0.82967,0.99451,1.88815,0.000451906,0.000451906,0.000451906
3,35.1687,0.47044,0.77253,0.98352,1.94115,0.000642809,0.000642809,0.000642809
4,45.2219,0.4877,0.76484,0.99121,1.95352,0.000607971,0.000607971,0.000607971
5,55.5189,0.49962,0.79231,0.99341,1.9235,0.000572628,0.000572628,0.000572628
6,65.5664,0.48528,0.82747,0.99341,1.89544,0.000537285,0.000537285,0.000537285
7,75.6134,0.45203,0.81538,0.99121,1.89499,0.000501942,0.000501942,0.000501942
8,85.5866,0.44942,0.8033,0.99231,1.91048,0.000466599,0.000466599,0.000466599
9,95.6826,0.43054,0.81868,0.99121,1.89147,0.000431256,0.000431256,0.000431256
10,105.676,0.41072,0.83956,0.99121,1.8765,0.000395913,0.000395913,0.000395913
11,174.683,0.39343,0.83187,0.99011,1.89036,0.00036057,0.00036057,0.00036057
12,184.647,0.38343,0.84286,0.99011,1.86445,0.000325227,0.000325227,0.000325227
13,194.858,0.35627,0.83736,0.99231,1.87337,0.000289884,0.000289884,0.000289884
14,205.049,0.35161,0.83407,0.99011,1.89245,0.000254541,0.000254541,0.000254541
15,215.33,0.33689,0.82747,0.99121,1.87734,0.000219198,0.000219198,0.000219198
16,225.569,0.3194,0.82637,0.98901,1.88307,0.000183855,0.000183855,0.000183855
17,236.024,0.31477,0.83077,0.99011,1.88522,0.000148512,0.000148512,0.000148512
18,246.074,0.2963,0.83516,0.99011,1.88014,0.000113169,0.000113169,0.000113169
19,255.991,0.27453,0.83846,0.99121,1.88021,7.7826e-05,7.7826e-05,7.7826e-05
20,266.364,0.2752,0.83736,0.99121,1.87025,4.2483e-05,4.2483e-05,4.2483e-05
