epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.7691,0.32204,0.79121,0.98901,1.90697,0.00023744,0.00023744,0.00023744
2,86.2396,0.14028,0.80769,0.98681,1.88568,0.000428371,0.000428371,0.000428371
3,96.6077,0.17686,0.78681,0.99121,1.91764,0.000572179,0.000572179,0.000572179
4,106.991,0.21754,0.7967,0.98791,1.90573,0.000501942,0.000501942,0.000501942
5,117.31,0.20879,0.78132,0.99011,1.92109,0.000431256,0.000431256,0.000431256
6,127.643,0.1992,0.81648,0.98791,1.87773,0.00036057,0.00036057,0.00036057
7,137.85,0.31221,0.83736,0.99341,1.87201,0.000289884,0.000289884,0.000289884
8,148.253,0.49232,0.8044,0.99121,1.90547,0.000219198,0.000219198,0.000219198
9,158.389,0.44115,0.81538,0.99011,1.89818,0.000148512,0.000148512,0.000148512
10,168.691,0.40799,0.83626,0.99341,1.87467,7.7826e-05,7.7826e-05,7.7826e-05
