epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.718,0.16581,0.83626,0.98901,1.85658,0.00023744,0.00023744,0.00023744
2,25.8157,0.10036,0.77582,0.98022,1.91432,0.000451906,0.000451906,0.000451906
3,35.8357,0.17874,0.76484,0.97912,1.93294,0.000642809,0.000642809,0.000642809
4,45.8745,0.23916,0.74505,0.98242,1.94805,0.000607971,0.000607971,0.000607971
5,55.7639,0.23043,0.76044,0.99341,1.93477,0.000572628,0.000572628,0.000572628
6,65.6513,0.2127,0.81758,0.99011,1.89336,0.000537285,0.000537285,0.000537285
7,75.8024,0.19507,0.81648,0.99011,1.87233,0.000501942,0.000501942,0.000501942
8,85.7213,0.19368,0.78352,0.98791,1.92337,0.000466599,0.000466599,0.000466599
9,95.8403,0.18475,0.7956,0.99011,1.89896,0.000431256,0.000431256,0.000431256
10,106.175,0.16793,0.81319,0.99231,1.88704,0.000395913,0.000395913,0.000395913
11,174.714,0.16757,0.7978,0.98901,1.8875,0.00036057,0.00036057,0.00036057
12,184.537,0.16845,0.82527,0.99121,1.86934,0.000325227,0.000325227,0.000325227
13,194.51,0.18685,0.81209,0.98681,1.88783,0.000289884,0.000289884,0.000289884
14,204.744,0.19749,0.81868,0.99011,1.88698,0.000254541,0.000254541,0.000254541
15,214.579,0.19642,0.81429,0.99231,1.8791,0.000219198,0.000219198,0.000219198
16,225.062,0.19864,0.8033,0.98791,1.89004,0.000183855,0.000183855,0.000183855
17,235.056,0.2076,0.8022,0.99121,1.88926,0.000148512,0.000148512,0.000148512
18,245.012,0.21624,0.7978,0.99231,1.88939,0.000113169,0.000113169,0.000113169
19,255.291,0.25985,0.80989,0.99341,1.89889,7.7826e-05,7.7826e-05,7.7826e-05
20,265.074,0.25825,0.81319,0.99341,1.88854,4.2483e-05,4.2483e-05,4.2483e-05
