epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.6662,0.41998,0.7956,0.99121,1.92663,0.00023744,0.00023744,0.00023744
2,87.0115,0.38795,0.7978,0.99341,1.9054,0.000428371,0.000428371,0.000428371
3,97.5493,0.43099,0.7967,0.98901,1.93275,0.000572179,0.000572179,0.000572179
4,108.248,0.46829,0.72857,0.98791,1.98229,0.000501942,0.000501942,0.000501942
5,118.227,0.43925,0.78901,0.99121,1.92031,0.000431256,0.000431256,0.000431256
6,128.771,0.40911,0.82857,0.98791,1.89668,0.00036057,0.00036057,0.00036057
7,139.761,0.39305,0.83297,0.9956,1.87461,0.000289884,0.000289884,0.000289884
8,151.013,0.48361,0.81429,0.98901,1.9082,0.000219198,0.000219198,0.000219198
9,161.418,0.44143,0.81209,0.99231,1.89798,0.000148512,0.000148512,0.000148512
10,171.845,0.41276,0.81429,0.99341,1.88294,7.7826e-05,7.7826e-05,7.7826e-05
