epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.2202,0.571,0.7978,0.99341,1.92493,0.00023744,0.00023744,0.00023744
2,87.988,0.62499,0.8033,0.99121,1.92311,0.000428371,0.000428371,0.000428371
3,98.1062,0.66539,0.76154,0.99231,1.97741,0.000572179,0.000572179,0.000572179
4,108.396,0.64983,0.7978,0.99011,1.93197,0.000501942,0.000501942,0.000501942
5,118.423,0.60101,0.76484,0.98462,1.95397,0.000431256,0.000431256,0.000431256
6,128.626,0.54239,0.82308,0.99121,1.90566,0.00036057,0.00036057,0.00036057
7,139.124,0.51217,0.84945,0.9967,1.87826,0.000289884,0.000289884,0.000289884
8,149.127,0.47027,0.82527,0.99341,1.90521,0.000219198,0.000219198,0.000219198
9,159.281,0.44257,0.84066,0.9956,1.88568,0.000148512,0.000148512,0.000148512
10,169.262,0.40942,0.84396,0.9956,1.87109,7.7826e-05,7.7826e-05,7.7826e-05
