epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.9609,0.2437,0.8033,0.99341,1.89401,0.00023744,0.00023744,0.00023744
2,85.0114,0.08369,0.81868,0.99231,1.8804,0.000428371,0.000428371,0.000428371
3,95.4529,0.13354,0.8044,0.99121,1.88262,0.000572179,0.000572179,0.000572179
4,105.849,0.15959,0.74505,0.98242,1.94701,0.000501942,0.000501942,0.000501942
5,116.205,0.14705,0.77143,0.98681,1.91094,0.000431256,0.000431256,0.000431256
6,127.07,0.13263,0.83516,0.98791,1.8681,0.00036057,0.00036057,0.00036057
7,137.175,0.20291,0.83736,0.99231,1.85918,0.000289884,0.000289884,0.000289884
8,147.727,0.52834,0.81868,0.98901,1.89648,0.000219198,0.000219198,0.000219198
9,157.855,0.45274,0.82198,0.98791,1.89323,0.000148512,0.000148512,0.000148512
10,167.775,0.41692,0.83407,0.98901,1.87331,7.7826e-05,7.7826e-05,7.7826e-05
