epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.5341,0.23957,0.8022,0.98681,1.8957,0.00023744,0.00023744,0.00023744
2,88.6918,0.07222,0.80879,0.98791,1.88268,0.000428371,0.000428371,0.000428371
3,99.6137,0.11301,0.74176,0.99121,1.95501,0.000572179,0.000572179,0.000572179
4,110.371,0.14188,0.77912,0.98571,1.92435,0.000501942,0.000501942,0.000501942
5,120.802,0.13168,0.79121,0.98352,1.90684,0.000431256,0.000431256,0.000431256
6,130.952,0.12819,0.80989,0.98901,1.88965,0.00036057,0.00036057,0.00036057
7,141.304,0.17256,0.82308,0.98462,1.87025,0.000289884,0.000289884,0.000289884
8,151.65,0.54392,0.82637,0.98901,1.88503,0.000219198,0.000219198,0.000219198
9,161.678,0.46102,0.81868,0.99121,1.89355,0.000148512,0.000148512,0.000148512
10,172.396,0.43089,0.82747,0.99231,1.88366,7.7826e-05,7.7826e-05,7.7826e-05
