epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.507,0.34731,0.76593,0.99341,1.93581,0.00023744,0.00023744,0.00023744
2,86.5944,0.24224,0.8011,0.99011,1.89642,0.000428371,0.000428371,0.000428371
3,96.8155,0.32322,0.76484,0.99341,1.94889,0.000572179,0.000572179,0.000572179
4,107.558,0.35021,0.82088,0.99341,1.8821,0.000501942,0.000501942,0.000501942
5,118.15,0.34159,0.78462,0.99231,1.91706,0.000431256,0.000431256,0.000431256
6,128.799,0.30674,0.82967,0.99011,1.87214,0.00036057,0.00036057,0.00036057
7,139.783,0.31007,0.83297,0.9956,1.86465,0.000289884,0.000289884,0.000289884
8,150.089,0.49698,0.81209,0.99121,1.90566,0.000219198,0.000219198,0.000219198
9,160.221,0.44486,0.82088,0.99341,1.88815,0.000148512,0.000148512,0.000148512
10,170.735,0.4147,0.82088,0.9956,1.88021,7.7826e-05,7.7826e-05,7.7826e-05
