2024-11-04 13:07:03,Type2,motorcycles
2024-11-04 13:07:20,Type1,stairs
2024-11-04 13:07:22,Type1,stairs
2024-11-04 13:07:24,Type1,stairs
2024-11-04 13:07:27,Type1,stairs
2024-11-04 13:07:29,Type1,stairs
2024-11-04 13:07:31,Type1,stairs
2024-11-04 13:07:33,Type1,stairs
2024-11-04 13:07:36,Type1,stairs
2024-11-04 13:07:38,Type1,stairs
2024-11-04 13:07:40,Type1,stairs
2024-11-04 13:07:43,Type1,stairs
2024-11-04 13:07:45,Type1,stairs
2024-11-04 13:07:47,Type1,stairs
2024-11-04 13:07:50,Type1,stairs
2024-11-04 13:07:52,Type1,stairs
2024-11-04 13:07:54,Type1,stairs
2024-11-04 13:07:56,Type1,stairs
2024-11-04 13:07:59,Type1,stairs
2024-11-04 13:08:01,Type1,stairs
2024-11-04 13:08:03,Type1,stairs
2024-11-04 13:08:06,Type1,stairs
2024-11-04 13:08:08,Type1,stairs
2024-11-04 13:08:10,Type1,stairs
2024-11-04 13:08:13,Type1,stairs
2024-11-04 13:08:15,Type1,stairs
2024-11-04 13:08:17,Type1,stairs
2024-11-04 13:08:19,Type1,stairs
2024-11-04 13:08:22,Type1,stairs
2024-11-04 13:08:24,Type1,stairs
2024-11-04 13:08:26,Type1,stairs
2024-11-04 13:08:29,Type1,stairs
2024-11-04 13:08:31,Type1,stairs
2024-11-04 13:08:33,Type1,stairs
2024-11-04 13:08:36,Type1,stairs
2024-11-04 13:08:38,Type1,stairs
2024-11-04 13:08:40,Type1,stairs
2024-11-04 13:08:43,Type1,stairs
2024-11-04 13:08:45,Type1,stairs
2024-11-04 13:08:47,Type1,stairs
2024-11-04 13:08:49,Type1,stairs
2024-11-04 13:08:52,Type1,stairs
2024-11-04 13:08:54,Type1,stairs
2024-11-04 13:08:56,Type1,stairs
2024-11-04 13:08:59,Type1,stairs
2024-11-04 13:09:01,Type1,stairs
2024-11-04 13:09:03,Type1,stairs
2024-11-04 13:09:06,Type1,stairs
2024-11-04 13:09:08,Type1,stairs
2024-11-04 13:09:10,Type1,stairs
2024-11-04 13:09:13,Type1,stairs
2024-11-04 13:09:15,Type1,stairs
2024-11-04 13:09:17,Type1,stairs
2024-11-04 13:09:19,Type1,stairs
2024-11-04 13:09:22,Type1,stairs
2024-11-04 13:09:24,Type1,stairs
2024-11-04 13:09:26,Type1,stairs
2024-11-04 13:09:29,Type1,stairs
2024-11-04 13:09:31,Type1,stairs
2024-11-04 13:09:33,Type1,stairs
2024-11-04 13:09:35,Type1,stairs
2024-11-04 13:09:38,Type1,stairs
2024-11-04 13:09:40,Type1,stairs
2024-11-04 13:09:42,Type1,stairs
2024-11-04 13:09:45,Type1,stairs
2024-11-04 13:09:47,Type1,stairs
2024-11-04 13:09:49,Type1,stairs
2024-11-04 13:09:52,Type1,stairs
2024-11-04 13:09:54,Type1,stairs
2024-11-04 13:09:56,Type1,stairs
2024-11-04 13:09:59,Type1,stairs
2024-11-04 13:10:01,Type1,stairs
2024-11-04 13:10:03,Type1,stairs
2024-11-04 13:10:05,Type1,stairs
2024-11-04 13:10:08,Type1,stairs
2024-11-04 13:10:10,Type1,stairs
2024-11-04 13:10:12,Type1,stairs
2024-11-04 13:10:15,Type1,stairs
2024-11-04 13:10:17,Type1,stairs
2024-11-04 13:10:19,Type1,stairs
2024-11-04 13:10:22,Type1,stairs
2024-11-04 13:10:24,Type1,stairs
2024-11-04 13:10:26,Type1,stairs
2024-11-04 13:10:29,Type1,stairs
2024-11-04 13:10:31,Type1,stairs
2024-11-04 13:10:33,Type1,stairs
2024-11-04 13:10:35,Type1,stairs
2024-11-04 13:10:38,Type1,stairs
2024-11-04 13:10:40,Type1,stairs
2024-11-04 13:10:42,Type1,stairs
2024-11-04 13:10:45,Type1,stairs
2024-11-04 13:10:47,Type1,stairs
2024-11-04 13:10:49,Type1,stairs
2024-11-04 13:10:52,Type1,stairs
2024-11-04 13:10:54,Type1,stairs
2024-11-04 13:10:56,Type1,stairs
2024-11-04 13:10:59,Type1,stairs
2024-11-04 13:11:01,Type1,stairs
2024-11-04 13:11:03,Type1,stairs
2024-11-04 13:11:05,Type1,stairs
2024-11-04 13:11:08,Type1,stairs
2024-11-04 13:11:10,Type1,stairs
2024-11-04 13:11:12,Type1,stairs
2024-11-04 13:11:15,Type1,stairs
2024-11-04 13:11:17,Type1,stairs
2024-11-04 13:11:19,Type1,stairs
2024-11-04 13:11:22,Type1,stairs
2024-11-04 13:11:24,Type1,stairs
2024-11-04 13:11:26,Type1,stairs
2024-11-04 13:11:29,Type1,traffic lights
2024-11-04 13:11:31,Type1,traffic lights
2024-11-04 13:11:33,Type1,traffic lights
2024-11-04 13:11:35,Type1,traffic lights
2024-11-04 13:11:38,Type1,traffic lights
2024-11-04 13:11:40,Type1,traffic lights
2024-11-04 13:11:42,Type1,traffic lights
2024-11-04 13:11:45,Type1,traffic lights
2024-11-04 13:11:47,Type1,traffic lights
2024-11-04 13:11:49,Type1,traffic lights
2024-11-04 13:11:52,Type1,traffic lights
