classification_type,type_2,total_attempts
1,0,21
1,0,22
1,0,23
1,2,23
0,3,24
0,4,25
1,0,25
1,2,26
13,3,27
1,2,28
1,0,28
1,0,28
2,0,29
1,4,30
1,2,31
193,3,39
0,2,39
1,2,40
85,0,46
1,4,47
1,0,48
4,6,50
2,0,51
53,0,56
6,0,58
1,2,58
1,1,58
1,0,58
1,0,59
1,0,59
31,6,2
0,1,3
1,2,3
60,4,6
275,2,18
81,0,21
71,2,26
1,1,27
0,3,28
1,0,28
0,3,28
1,0,29
79,2,32
1,1,33
76,2,37
1,0,37
1,4,38
1,0,39
1,2,39
2,2,41
