classification_type,type_2,total_attempts
195,4,26
1,0,26
0,4,27
2,0,27
0,3,28
0,3,29
2,0,29
90,5,35
14,2,36
1,0,36
1,0,37
109,1,41
1,0,42
0,1,42
1,0,42
95,0,46
1,1,47
56,2,49
1,1,50
1,0,50
84,0,56
1,0,57
2,0,58
1,2,58
120,2,6
132,1,16
1,0,16
1,2,17
79,6,22
1,2,22
1,0,22
1,0,23
46,6,27
3,6,30
4,2,31
0,2,32
0,2,32
1,0,33
1,0,33
1,0,34
0,2,34
1,0,35
1,0,35
3,2,36
2,2,37
88,6,44
1,0,45
71,0,49
1,2,50
2,5,52
