epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.8184,0.29172,0.7989,0.99451,1.89967,0.00023744,0.00023744,0.00023744
2,89.2474,0.09299,0.77473,0.99231,1.91016,0.000428371,0.000428371,0.000428371
3,99.3754,0.13991,0.79341,0.98791,1.90664,0.000572179,0.000572179,0.000572179
4,109.402,0.16453,0.77692,0.98681,1.91582,0.000501942,0.000501942,0.000501942
5,119.567,0.15142,0.80879,0.99121,1.90182,0.000431256,0.000431256,0.000431256
6,129.579,0.14901,0.83846,0.99341,1.8681,0.00036057,0.00036057,0.00036057
7,139.799,0.28162,0.84945,0.99231,1.85,0.000289884,0.000289884,0.000289884
8,149.62,0.50516,0.8022,0.99121,1.90664,0.000219198,0.000219198,0.000219198
9,159.899,0.44313,0.83407,0.99231,1.88288,0.000148512,0.000148512,0.000148512
10,170.092,0.40923,0.83516,0.99231,1.87585,7.7826e-05,7.7826e-05,7.7826e-05
