classification_type,type_2,total_attempts
0,2,2
0,4,4
1,0,1
1,0,1
1,3,4
26,0,26
1,0,1
1,0,1
2,4,6
1,0,1
2,0,2
1,3,4
17,0,17
18,0,18
1,2,3
1,0,1
0,4,4
1,1,2
1,4,5
2,2,4
1,5,6
3,0,3
0,2,2
3,11,14
1,5,6
3,0,3
2,0,2
3,0,3
2,0,2
11,4,16
2,10,12
38,5,43
1,0,1
1,0,1
15,7,22
13,1,14
2,0,2
2,2,4
3,0,3
1,0,1
8,0,8
1,5,6
4,5,9
1,5,6
2,2,4
1,2,3
2,0,2
1,0,1
1,0,1
1,0,1
