classification_type,type_2,total_attempts
1,2,3
1,2,3
1,2,3
0,2,2
1,1,2
2,0,2
1,0,1
1,0,1
0,2,2
0,2,2
0,3,4
10,0,10
1,2,3
1,2,3
48,0,48
2,6,8
1,3,4
2,5,7
1,1,2
45,2,47
1,0,1
3,1,4
10,0,10
6,7,13
133,15,148
81,80,161
29,5,34
1,0,1
1,2,3
0,3,3
0,2,2
1,2,3
1,0,1
1,0,1
1,2,3
0,1,1
1,1,2
112,2,114
1,0,1
49,0,49
0,4,4
42,0,42
0,1,1
1,0,1
48,0,48
1,0,1
1,0,1
0,6,6
2,0,2
40,0,40
