classification_type,type_2,total_attempts
195,4,199
1,0,1
0,4,4
2,0,2
0,3,3
0,3,3
2,0,2
90,5,95
14,2,16
1,0,1
1,0,1
109,1,110
1,0,1
0,1,2
1,0,1
95,0,95
1,1,2
56,2,58
1,1,2
1,0,1
84,0,85
1,0,1
2,0,2
1,2,3
120,2,122
132,1,133
1,0,1
1,2,3
79,6,85
1,2,3
1,0,1
1,0,1
46,6,53
3,6,9
4,2,6
0,2,2
0,2,2
1,0,1
1,0,1
1,0,1
0,2,2
1,0,1
1,0,1
3,2,5
2,2,4
88,6,94
1,0,1
71,0,71
1,2,3
2,5,7
