epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.825,0.04897,0.84066,0.98791,1.85104,0.00023744,0.00023744,0.00023744
2,25.397,0.1459,0.78901,0.99121,1.90534,0.000451906,0.000451906,0.000451906
3,35.903,0.20149,0.76264,0.98571,1.94089,0.000642809,0.000642809,0.000642809
4,46.2399,0.21553,0.75275,0.98791,1.93516,0.000607971,0.000607971,0.000607971
5,56.0729,0.22949,0.77253,0.99011,1.93359,0.000572628,0.000572628,0.000572628
6,66.112,0.20425,0.81758,0.99341,1.87982,0.000537285,0.000537285,0.000537285
7,75.988,0.20034,0.81429,0.99121,1.87533,0.000501942,0.000501942,0.000501942
8,86.2209,0.18581,0.80659,0.99341,1.90391,0.000466599,0.000466599,0.000466599
9,96.1529,0.17805,0.7956,0.98681,1.90527,0.000431256,0.000431256,0.000431256
10,106.321,0.17875,0.82637,0.98681,1.88444,0.000395913,0.000395913,0.000395913
11,176.042,0.17427,0.81319,0.99121,1.88105,0.00036057,0.00036057,0.00036057
12,186.285,0.16777,0.81538,0.99011,1.87728,0.000325227,0.000325227,0.000325227
13,196.334,0.19246,0.82198,0.98352,1.87624,0.000289884,0.000289884,0.000289884
14,206.624,0.20371,0.82198,0.98901,1.88444,0.000254541,0.000254541,0.000254541
15,216.713,0.19161,0.81978,0.98791,1.8752,0.000219198,0.000219198,0.000219198
16,226.877,0.20295,0.82418,0.98901,1.87454,0.000183855,0.000183855,0.000183855
17,237.493,0.21366,0.83187,0.98901,1.86927,0.000148512,0.000148512,0.000148512
18,247.915,0.22616,0.83077,0.98901,1.87018,0.000113169,0.000113169,0.000113169
19,258.128,0.26996,0.82418,0.98901,1.88411,7.7826e-05,7.7826e-05,7.7826e-05
20,268.414,0.27385,0.82527,0.98901,1.86686,4.2483e-05,4.2483e-05,4.2483e-05
