epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.8559,0.03214,0.83736,0.98901,1.85345,0.00023744,0.00023744,0.00023744
2,26.392,0.15886,0.77033,0.98132,1.91699,0.000451906,0.000451906,0.000451906
3,36.8043,0.19273,0.78022,0.98132,1.92337,0.000642809,0.000642809,0.000642809
4,46.9465,0.21634,0.77363,0.98462,1.92474,0.000607971,0.000607971,0.000607971
5,57.071,0.24053,0.77253,0.98571,1.92461,0.000572628,0.000572628,0.000572628
6,67.197,0.21356,0.78571,0.99011,1.91621,0.000537285,0.000537285,0.000537285
7,77.287,0.2019,0.7989,0.98901,1.89017,0.000501942,0.000501942,0.000501942
8,87.8493,0.18936,0.8011,0.99231,1.90111,0.000466599,0.000466599,0.000466599
9,97.72,0.18931,0.7956,0.98571,1.89909,0.000431256,0.000431256,0.000431256
10,108.082,0.1717,0.79121,0.98681,1.90163,0.000395913,0.000395913,0.000395913
11,176.932,0.17252,0.81758,0.98462,1.8752,0.00036057,0.00036057,0.00036057
12,186.775,0.16114,0.82088,0.99121,1.87344,0.000325227,0.000325227,0.000325227
13,197.054,0.18929,0.80549,0.98791,1.8834,0.000289884,0.000289884,0.000289884
14,207.234,0.19439,0.8011,0.98901,1.89714,0.000254541,0.000254541,0.000254541
15,216.814,0.20013,0.82747,0.99451,1.86999,0.000219198,0.000219198,0.000219198
16,226.699,0.1996,0.81758,0.9956,1.88053,0.000183855,0.000183855,0.000183855
17,236.949,0.20377,0.82198,0.99011,1.87253,0.000148512,0.000148512,0.000148512
18,246.844,0.21408,0.81429,0.99011,1.87591,0.000113169,0.000113169,0.000113169
19,257.087,0.25806,0.82198,0.99341,1.88372,7.7826e-05,7.7826e-05,7.7826e-05
20,267.513,0.25551,0.81429,0.99341,1.875,4.2483e-05,4.2483e-05,4.2483e-05
