epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.5831,0.01765,0.83626,0.98901,1.85423,0.00023744,0.00023744,0.00023744
2,26.897,0.17463,0.75165,0.98462,1.93704,0.000451906,0.000451906,0.000451906
3,37.13,0.19099,0.77473,0.98132,1.92129,0.000642809,0.000642809,0.000642809
4,47.3423,0.20919,0.7956,0.98571,1.90768,0.000607971,0.000607971,0.000607971
5,57.9107,0.22694,0.78571,0.99011,1.90703,0.000572628,0.000572628,0.000572628
6,67.8808,0.20866,0.81978,0.98571,1.87812,0.000537285,0.000537285,0.000537285
7,78.279,0.19404,0.81758,0.99231,1.87513,0.000501942,0.000501942,0.000501942
8,88.69,0.19334,0.82967,0.99121,1.88581,0.000466599,0.000466599,0.000466599
9,98.9269,0.19283,0.80659,0.99121,1.89284,0.000431256,0.000431256,0.000431256
10,108.807,0.17831,0.80659,0.99121,1.88691,0.000395913,0.000395913,0.000395913
11,177.955,0.16702,0.81209,0.98571,1.88314,0.00036057,0.00036057,0.00036057
12,188.125,0.16679,0.81319,0.98791,1.87773,0.000325227,0.000325227,0.000325227
13,198.299,0.19141,0.81978,0.98462,1.88021,0.000289884,0.000289884,0.000289884
14,208.379,0.1996,0.81868,0.98462,1.89154,0.000254541,0.000254541,0.000254541
15,218.8,0.19466,0.83626,0.98571,1.86113,0.000219198,0.000219198,0.000219198
16,229.021,0.20166,0.83407,0.98901,1.86309,0.000183855,0.000183855,0.000183855
17,239.437,0.20841,0.83956,0.99011,1.86296,0.000148512,0.000148512,0.000148512
18,249.524,0.22453,0.83407,0.98791,1.86745,0.000113169,0.000113169,0.000113169
19,259.9,0.27124,0.83407,0.99121,1.87572,7.7826e-05,7.7826e-05,7.7826e-05
20,270.023,0.27295,0.84066,0.98901,1.85879,4.2483e-05,4.2483e-05,4.2483e-05
